id,query,expected_behavior,expected_intent_class,expected_metric,expected_dimension,expected_time_or_filter,unsupported_reason,aegis_correct,aegis_reason,aegis_needs_human_review,b1_correct,b1_reason,b1_needs_human_review,b2_correct,b2_reason,b2_needs_human_review,b3_correct,b3_reason,b3_needs_human_review
1,What was the total revenue generated today?,answer,KPI,revenue,,today,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,query asks for one aggregate value but SQL groups the result,False
2,How many orders were placed yesterday?,answer,KPI,order_count,,yesterday,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,query asks for one aggregate value but SQL groups the result,False
3,What is the average order value for the current week?,answer,KPI,avg_order_value,,current_week,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,False,missing expected time/filter evidence: current_week,False
4,What was the gross profit margin for last month?,answer,KPI,profit,,last_month,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,False,query asks for one aggregate value but SQL groups the result,False
5,How many new customers signed up this morning?,answer,KPI,customer_count,,today,,False,SQL did not execute against seeded MySQL,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,query asks for one aggregate value but SQL groups the result,False
6,What is the total number of refunds processed today?,answer,KPI,refund,,today,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,False,query asks for one aggregate value but SQL groups the result,False
7,What is the conversion rate for visitors on the homepage today?,clarify_or_reject,KPI,order_count,,today,homepage visitor/conversion source is not in the benchmark schema; visitor/session/pageview source is not in the benchmark schema,False,homepage visitor/conversion source is not in the benchmark schema; visitor/session/pageview source is not in the benchmark schema,False,False,homepage visitor/conversion source is not in the benchmark schema; visitor/session/pageview source is not in the benchmark schema,False,False,homepage visitor/conversion source is not in the benchmark schema; visitor/session/pageview source is not in the benchmark schema,False,False,homepage visitor/conversion source is not in the benchmark schema; visitor/session/pageview source is not in the benchmark schema,False
8,How many coupons were redeemed in the past 24 hours?,answer,KPI,discount,,,,False,missing expected metric evidence: discount,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,False,missing expected metric evidence: discount,False
9,What is the total shipping cost incurred this week?,answer,KPI,shipping_cost,,current_week,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
10,What is the net revenue after discounts for today?,answer,KPI,discount,,today,,False,missing expected metric evidence: discount,False,False,SQL did not execute against seeded MySQL,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,query asks for one aggregate value but SQL groups the result,False
